PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Manu Ginobili,SAS,33,6-6,205,None,Argentina,1999,2,57,80,17.4,3.7,4.9,11,1.90%,10.30%,24.80%,58.10%,24.90%
Manny Harris,CLE,21,6-5,185,Michigan,USA,Undrafted,Undrafted,Undrafted,54,5.9,2.6,1.6,-13,3.70%,11.70%,18.60%,48.60%,15.30%
Malik Allen,ORL,33,6-10,255,Villanova,USA,Undrafted,Undrafted,Undrafted,18,1.3,1.8,0.2,-14.6,6.10%,11.60%,8.70%,36.10%,3.60%
Luther Head,SAC,28,6-3,185,Illinois,USA,2005,1,24,36,5.6,1.7,1.9,-8.8,2.70%,7.90%,16.10%,53.80%,19.40%
Luol Deng,CHI,26,6-9,220,Duke,United Kingdo...,2004,1,7,82,17.4,5.8,2.8,8.2,3.70%,11.20%,20.50%,54.90%,11.90%
Luke Walton,LAL,31,6-8,235,Arizona,USA,2003,2,32,54,1.7,1.2,1.1,3.9,1.90%,10.70%,14.40%,37.80%,18.30%
Luke Ridnour,MIN,30,6-2,175,Oregon,USA,2003,1,14,71,11.8,2.8,5.4,-5.4,1.70%,7.40%,17.40%,56.70%,27.40%
Luke Harangody,CLE,23,6-7,251,Notre Dame,USA,2010,2,52,49,3.9,2.9,0.6,-5.6,6.30%,15.90%,16.50%,44.40%,7.80%
Luke Babbitt,POR,22,6-9,225,Nevada-Reno,USA,2010,1,16,24,1.5,1.3,0.3,-10.3,3.60%,16.60%,20.20%,30.50%,7.70%
Luis Scola,HOU,31,6-9,245,None,Argentina,2002,2,55,74,18.3,8.2,2.5,4.3,6.10%,19.40%,25.50%,53.80%,13.10%
Luc Mbah a Moute,MIL,24,6-8,230,UCLA,Cameroon,2008,2,37,79,6.7,5.3,0.9,-0.2,8.00%,12.90%,13.10%,51.80%,5.40%
Lou Williams,PHI,24,6-1,175,None,USA,2005,2,45,75,13.7,2,3.4,2.2,1.90%,6.60%,27.00%,54.00%,24.80%
Lou Amundson,GSW,28,6-9,225,UNLV,USA,Undrafted,Undrafted,Undrafted,46,4.3,4,0.4,-6.1,10.90%,14.50%,15.20%,45.20%,3.90%
Linas Kleiza,TOR,26,6-8,245,Missouri,Lithuania,2005,1,27,39,11.2,4.5,1,-3.3,3.70%,14.70%,21.20%,50.20%,6.00%
Lester Hudson,WAS,26,6-3,190,Tennessee-Martin,USA,2009,2,58,11,1.6,0.5,1.5,-4.4,1.20%,6.00%,19.50%,34.90%,44.70%
Leon Powe,MEM,27,6-8,240,California,USA,2006,2,49,30,5.3,2.1,0.2,-11.3,7.30%,13.80%,22.40%,52.40%,3.80%
Leandro Barbosa,TOR,28,6-3,202,None,Brazil,2003,1,28,58,13.3,1.7,2.1,-4.8,1.00%,6.20%,24.90%,53.90%,14.70%
LeBron James,MIA,26,6-8,250,None,USA,2003,1,1,79,26.7,7.5,7,10.1,2.90%,16.30%,30.70%,59.40%,34.30%
Lazar Hayward,MIN,24,6-6,225,Marquette,USA,2010,1,30,42,3.8,1.7,0.7,-12.9,4.80%,11.80%,18.30%,46.40%,10.70%
Larry Sanders,MIL,22,6-11,235,Va Commonwealth,USA,2010,1,15,60,4.3,3,0.3,-8.2,6.60%,14.20%,17.20%,44.80%,3.30%
Larry Owens,WAS,28,6-7,210,Oral Roberts,USA,Undrafted,Undrafted,Undrafted,12,3.3,1.3,0.7,4.5,0.70%,10.10%,12.30%,55.60%,8.90%
Landry Fields,NYK,23,6-7,210,Stanford,USA,2010,2,39,82,9.7,6.4,1.9,1.6,4.30%,16.50%,13.40%,59.80%,8.70%
Lance Stephenson,IND,20,6-5,210,Cincinnati,USA,2010,2,40,12,3.1,1.5,1.8,3.2,0.80%,12.70%,21.70%,41.00%,30.90%
Lamar Odom,LAL,31,6-10,230,Rhode Island,USA,1999,1,4,82,14.4,8.7,3,7,6.90%,19.80%,19.40%,58.90%,15.40%
LaMarcus Aldridge,POR,25,6-11,240,Texas-Austin,USA,2006,1,2,81,21.8,8.8,2.1,4.9,9.20%,15.20%,25.70%,54.90%,9.90%
Kyrylo Fesenko,UTA,24,7-1,280,None,Ukraine,2007,2,38,53,2,2,0.3,4.6,7.70%,17.30%,14.20%,44.10%,6.30%
Kyle Weaver,UTA,25,6-6,201,Washington State,USA,2008,2,38,5,5.6,2,1.4,1.3,2.60%,11.60%,23.20%,49.10%,21.20%
Kyle Lowry,HOU,25,6-0,205,Villanova,USA,2006,1,24,75,13.5,4.1,6.7,5.8,3.50%,8.80%,18.40%,55.00%,28.90%
Kyle Korver,CHI,30,6-7,212,Creighton,USA,2003,2,51,82,8.3,1.8,1.5,8,0.80%,8.40%,17.60%,57.20%,12.10%
Kwame Brown,CHA,29,6-11,270,None,USA,2001,1,1,66,7.9,6.8,0.7,-7,9.00%,19.70%,15.00%,55.00%,4.10%
Kurt Thomas,CHI,38,6-9,230,TCU,USA,1995,1,10,52,4.1,5.8,1.2,7.6,6.70%,19.90%,9.50%,52.70%,7.40%
Kris Humphries,NJN,26,6-9,235,Minnesota,USA,2004,1,14,74,10,10.4,1.1,-6.1,11.10%,27.90%,17.00%,55.50%,6.90%
Kosta Koufos,DEN,22,7-0,265,Ohio State,USA,2008,1,23,50,3.2,2.6,0.1,-5.3,11.90%,16.50%,18.40%,47.40%,2.50%
Kobe Bryant,LAL,32,6-6,205,None,USA,1996,1,13,82,25.3,5.1,4.7,7.3,3.10%,12.10%,34.30%,54.80%,25.80%
Kirk Hinrich,ATL,30,6-4,190,Kansas,USA,2003,1,7,72,10.2,2.5,4,-9.4,1.00%,8.00%,16.70%,54.30%,22.10%
Keyon Dooling,MIL,31,6-3,195,Missouri,USA,2000,1,10,80,7.1,1.5,3,2.9,0.70%,6.20%,17.10%,50.90%,22.60%
Kevin Seraphin,WAS,21,6-9,275,None,France,2010,1,17,58,2.7,2.6,0.2,-14.9,11.00%,12.00%,13.20%,47.90%,2.50%
Kevin Martin,HOU,28,6-7,185,Western Carolina,USA,2004,1,26,80,23.5,3.2,2.5,3.4,1.10%,9.00%,28.90%,60.10%,12.80%
Kevin Love,MIN,22,6-10,260,UCLA,USA,2008,1,5,73,20.2,15.2,2.5,-5.3,12.10%,30.00%,22.40%,59.30%,11.60%
Kevin Garnett,BOS,35,6-11,253,None,USA,1995,1,5,71,14.9,8.9,2.4,12.9,4.40%,24.90%,21.90%,57.50%,12.70%
Kevin Durant,OKC,22,6-9,230,Texas-Austin,USA,2007,1,2,78,27.7,6.8,2.7,4.1,2.00%,15.40%,29.60%,58.90%,12.70%
Kenyon Martin,DEN,33,6-9,240,Cincinnati,USA,2000,1,1,48,8.6,6.2,2.3,8.2,5.90%,18.30%,16.40%,52.60%,13.00%
Kendrick Perkins,OKC,26,6-10,280,None,USA,2003,1,27,29,6,8,0.9,7.1,9.00%,22.70%,13.30%,53.80%,5.20%
Keith Bogans,CHI,31,6-5,215,Kentucky,USA,2003,2,43,82,4.4,1.8,1.2,5.8,1.40%,9.30%,11.40%,55.90%,9.80%
Juwan Howard,MIA,38,6-9,250,Michigan,USA,1994,1,5,57,2.4,2.1,0.4,1.7,6.70%,14.50%,12.90%,49.50%,6.20%
Julian Wright,TOR,24,6-8,225,Kansas,USA,2007,1,13,52,3.6,2.3,1.1,0,6.60%,9.30%,12.80%,52.50%,11.00%
Jrue Holiday,PHI,21,6-4,180,UCLA,USA,2009,1,17,82,14,4,6.5,2.9,2.50%,9.50%,20.40%,52.50%,28.20%
Josh Smith,ATL,25,6-9,240,None,USA,2004,1,17,77,16.5,8.5,3.3,1.9,5.50%,20.80%,24.50%,54.00%,16.80%
Josh Powell,ATL,28,6-9,240,North Carolina State,USA,Undrafted,Undrafted,Undrafted,54,4.1,2.5,0.4,-8.3,8.20%,14.10%,19.50%,49.20%,5.90%
Josh McRoberts,IND,24,6-10,240,Duke,USA,2007,2,37,72,7.4,5.3,2.1,1.8,7.20%,16.00%,14.40%,60.80%,14.30%
Josh Howard,WAS,31,6-7,210,Wake Forest,USA,2003,1,29,18,8.4,4.1,1.3,-9,3.90%,14.40%,21.10%,41.60%,9.50%
Josh Childress,PHX,28,6-8,209,Stanford,USA,2004,1,6,54,5,2.9,0.8,-6.8,8.00%,10.20%,13.90%,56.70%,7.20%
Jose Calderon,TOR,29,6-3,210,None,Spain,Undrafted,Undrafted,Undrafted,68,9.8,3,8.9,-4.5,1.50%,8.80%,16.40%,52.20%,41.20%
Jordan Hill,HOU,23,6-10,235,Arizona,USA,2009,1,8,72,5.6,4.3,0.4,-7.1,11.10%,16.30%,17.30%,52.10%,4.30%
Jordan Farmar,NJN,24,6-2,180,UCLA,USA,2006,1,26,73,9.6,2.4,5,-6.7,1.30%,8.70%,20.50%,50.40%,34.10%
Jordan Crawford,WAS,22,6-4,195,Xavier,USA,2010,1,27,42,11.7,2.5,2.8,-10.9,2.80%,7.40%,25.80%,45.60%,19.70%
Jonny Flynn,MIN,22,6-0,185,Syracuse,USA,2009,1,6,53,5.3,1.5,3.4,-9,1.20%,7.00%,18.60%,44.40%,28.40%
Jon Brockman,MIL,24,6-7,255,Washington,USA,2009,2,38,63,2.2,2.9,0.3,3.6,10.90%,17.90%,9.50%,56.70%,4.10%
John Wall,WAS,20,6-4,195,Kentucky,USA,2010,1,1,69,16.4,4.6,8.3,-8.8,1.30%,11.20%,23.30%,49.40%,35.70%
John Salmons,MIL,31,6-6,207,Miami,USA,2002,1,26,73,14,3.6,3.5,-1.1,1.10%,10.00%,20.70%,51.00%,17.90%
John Lucas III,CHI,28,5-11,165,Oklahoma State,USA,Undrafted,Undrafted,Undrafted,2,1,0,0.5,-15.8,0.00%,0.00%,19.00%,25.80%,16.70%
Johan Petro,NJN,25,7-0,247,None,France,2005,1,25,77,3.5,2.8,0.6,-6.9,7.10%,17.50%,18.00%,45.20%,8.80%
Joey Graham,CLE,29,6-7,230,Oklahoma State,USA,2005,1,16,39,5.2,2.2,0.5,-7.2,1.40%,13.30%,17.20%,51.80%,5.40%
Joey Dorsey,TOR,27,6-8,268,Memphis,USA,2008,2,33,43,3.1,4.4,0.6,-0.7,14.50%,23.10%,14.10%,52.90%,7.80%
Joel Przybilla,CHA,31,7-1,245,Minnesota,USA,2000,1,9,36,1.8,4,0.4,-6.1,7.60%,22.30%,7.70%,57.30%,3.80%
Joel Anthony,MIA,28,6-9,245,UNLV,Canada,Undrafted,Undrafted,Undrafted,75,2,3.5,0.3,4.8,7.90%,10.40%,5.40%,58.30%,2.40%
