PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
Andre Iguodala,GSW,32,6-6,215,Arizona,USA,2004,1,9,65,7,4,3.4,13.2,3.10%,11.00%,11.70%,56.50%,16.50%
Branden Dawson,LAC,23,6-6,225,Michigan State,USA,2015,2,56,6,0.8,0.7,0,-29.5,9.10%,6.30%,7.80%,46.00%,0.00%
Brandon Rush,GSW,30,6-6,220,Kansas,USA,2008,1,13,72,4.2,2.5,0.8,-0.9,2.10%,14.00%,12.50%,56.00%,7.20%
Bryce Dejean-Jones,NOP,23,6-6,203,Iowa State,USA,Undrafted,Undrafted,Undrafted,14,5.6,3.4,1.1,-6.8,2.50%,15.70%,14.00%,50.50%,7.60%
CJ Miles,IND,29,6-6,231,No College,USA,2005,2,34,64,11.8,2.7,1,0.2,1.70%,9.90%,22.10%,54.70%,6.90%
Chris Johnson,UTA,26,6-6,206,Dayton,USA,Undrafted,Undrafted,Undrafted,70,2.9,1.9,0.6,2,3.20%,11.80%,13.10%,48.20%,8.20%
Chuck Hayes,LAC,33,6-6,240,Kentucky,USA,Undrafted,Undrafted,Undrafted,2,2,4,1,-2.3,0.00%,25.00%,11.30%,69.40%,13.30%
Dahntay Jones,CLE,35,6-6,225,Duke,USA,2003,1,20,1,13,5,2,1.5,2.40%,9.50%,15.60%,46.40%,6.70%
Danny Green,SAS,29,6-6,215,North Carolina,USA,2009,2,46,79,7.2,3.8,1.8,12.5,2.40%,12.10%,14.30%,49.20%,9.20%
Darrun Hilliard,DET,23,6-6,205,Villanova,USA,2015,2,38,38,4,1.2,0.7,-1.7,1.30%,10.30%,19.00%,51.10%,11.70%
Devin Booker,PHX,19,6-6,206,Kentucky,USA,2015,1,13,76,13.8,2.5,2.6,-8.4,1.20%,7.50%,22.80%,53.50%,16.20%
Devyn Marble,ORL,23,6-6,200,Iowa,USA,2014,2,56,28,2.1,1.4,0.4,-1.2,2.10%,12.00%,15.30%,36.80%,7.20%
